id,target
0,1
2,0
3,0
9,1
11,1
12,0
21,0
22,0
27,1
29,0
30,0
35,1
42,0
43,1
45,0
46,1
47,0
51,0
58,0
60,0
69,0
70,0
72,0
75,1
84,0
87,1
88,0
90,1
94,0
99,1
101,1
103,1
106,1
108,1
111,0
115,0
116,1
122,1
123,1
124,1
125,1
127,0
140,1
142,1
147,0
148,0
150,0
152,0
154,1
155,0
166,0
167,1
169,0
177,0
179,0
181,1
186,0
188,0
189,0
192,0
200,1
202,0
206,0
207,0
214,1
217,0
223,0
224,0
227,0
228,1
230,0
233,0
234,1
236,1
239,1
250,0
255,1
257,1
259,1
275,1
278,0
282,0
284,0
286,0
288,0
292,1
295,1
300,0
304,1
305,1
306,1
308,0
311,0
317,0
319,1
323,0
324,0
325,1
326,0
333,0
339,0
342,0
343,0
350,0
351,1
357,0
359,1
362,0
366,0
367,1
369,1
373,1
374,1
376,1
377,1
378,1
379,1
382,1
385,1
387,1
388,1
391,0
392,1
395,1
399,1
400,1
403,1
405,1
408,0
411,1
414,0
416,1
417,1
422,0
425,1
428,1
430,1
431,1
433,1
434,1
439,0
441,0
449,1
458,1
460,0
464,0
473,1
488,1
491,1
494,1
497,0
500,1
505,0
507,1
508,0
510,1
511,0
515,0
525,1
529,0
532,0
534,1
537,0
539,1
541,0
545,1
547,0
548,0
549,0
553,0
554,0
555,1
557,1
562,1
566,0
572,0
573,1
582,1
586,0
587,0
590,1
591,0
593,0
595,1
596,0
597,1
601,1
602,0
605,0
610,0
616,0
618,1
620,1
626,0
627,0
629,0
632,1
634,0
639,0
645,1
647,1
648,1
650,1
663,0
666,1
668,1
670,0
673,0
676,0
678,1
692,1
693,0
694,1
695,1
696,0
698,1
701,0
703,1
707,1
708,0
711,1
715,1
718,1
722,0
723,0
733,1
741,0
742,1
743,0
747,1
749,1
750,0
756,0
757,0
760,0
764,0
765,1
766,1
768,1
769,1
771,0
772,1
776,0
778,1
780,1
785,0
789,1
792,1
793,0
811,1
813,0
816,1
821,1
824,1
825,1
827,0
830,1
831,1
839,1
844,0
847,1
850,1
854,1
855,0
858,1
861,1
862,0
865,0
869,0
879,0
880,0
887,1
889,1
897,0
900,0
901,1
904,0
908,0
909,0
910,1
913,1
914,1
917,1
918,1
920,0
922,1
924,1
925,0
927,0
933,0
937,1
943,0
949,0
950,1
954,1
966,0
967,1
969,0
970,0
973,0
975,0
980,0
988,0
989,0
995,0
1000,0
1003,0
1007,1
1011,1
1012,1
1013,0
1014,0
1016,0
1019,1
1025,1
1027,1
1028,0
1030,1
1033,0
1034,0
1039,1
1046,1
1047,0
1053,1
1055,1
1056,1
1059,1
1060,0
1063,1
1064,0
1068,0
1076,1
1086,1
1087,0
1089,0
1092,0
1095,0
1096,0
1097,0
1100,1
1101,0
1107,1
1108,0
1111,0
1115,0
1116,0
1121,0
1125,1
1127,0
1131,0
1133,0
1135,1
1137,1
1140,0
1144,1
1147,1
1148,1
1150,0
1158,0
1159,1
1161,0
1163,1
1165,1
1169,0
1171,1
1172,0
1176,1
1180,0
1184,0
1186,0
1187,0
1192,1
1193,0
1194,0
1197,0
1200,0
1205,1
1210,1
1216,0
1220,0
1231,1
1233,0
1246,0
1247,0
1248,0
1255,0
1256,0
1257,0
1258,0
1260,0
1261,0
1265,0
1266,1
1268,0
1274,0
1281,0
1285,1
1286,1
1291,0
1292,1
1295,1
1299,0
1306,0
1310,0
1311,0
1313,0
1314,0
1322,0
1323,0
1325,1
1329,0
1330,0
1333,0
1336,0
1339,0
1342,0
1344,0
1355,0
1357,0
1358,1
1359,0
1364,0
1366,0
1367,0
1370,0
1373,1
1377,0
1386,0
1387,0
1392,0
1397,1
1398,1
1400,1
1403,0
1404,0
1410,0
1413,1
1416,0
1417,1
1423,1
1424,0
1426,0
1427,0
1428,1
1430,0
1434,1
1435,1
1437,0
1438,0
1442,0
1446,0
1451,1
1457,1
1461,1
1462,0
1465,0
1468,1
1469,1
1471,0
1476,0
1478,0
1481,1
1489,1
1490,0
1492,0
1496,0
1512,0
1516,0
1517,0
1528,0
1529,1
1536,1
1539,1
1541,1
1542,0
1548,1
1550,1
1551,0
1552,0
1557,1
1563,1
1564,1
1565,1
1566,1
1571,1
1578,0
1581,1
1583,1
1584,0
1586,1
1589,1
1592,1
1598,1
1606,0
1612,0
1616,0
1620,1
1624,0
1629,1
1630,0
1635,1
1640,1
1641,1
1642,1
1651,1
1655,1
1656,1
1659,1
1664,1
1667,1
1668,1
1674,1
1678,1
1680,0
1681,1
1682,0
1685,0
1695,1
1696,0
1697,0
1704,0
1708,1
1711,1
1713,0
1714,1
1717,1
1729,1
1730,1
1732,0
1734,0
1736,1
1738,0
1742,0
1743,1
1746,0
1748,0
1749,0
1751,1
1758,1
1764,1
1765,1
1777,1
1778,1
1781,1
1782,1
1783,1
1785,1
1788,1
1793,1
1794,1
1795,1
1797,1
1800,0
1801,1
1805,0
1806,1
1819,0
1820,1
1825,1
1828,0
1829,0
1830,0
1839,1
1843,0
1844,1
1846,1
1849,0
1850,0
1854,0
1855,1
1858,1
1859,0
1862,0
1867,0
1868,0
1871,0
1872,1
1874,1
1876,1
1879,0
1884,1
1891,0
1894,0
1896,0
1902,0
1903,0
1904,1
1906,0
1907,0
1912,1
1913,1
1923,0
1926,1
1928,0
1930,1
1931,1
1934,1
1936,1
1944,0
1946,1
1947,1
1958,1
1964,0
1970,1
1974,0
1977,1
1978,0
1982,0
1984,1
1988,0
1993,0
1997,0
1998,0
2002,1
2004,0
2005,0
2008,0
2011,0
2013,1
2018,0
2021,0
2025,0
2029,1
2030,0
2032,1
2037,1
2041,0
2044,0
2048,0
2052,0
2053,1
2054,0
2062,0
2065,0
2066,0
2072,0
2079,0
2080,1
2085,1
2088,1
2090,0
2092,0
2093,0
2101,0
2104,0
2105,0
2106,0
2107,0
2120,0
2124,0
2127,1
2130,1
2132,0
2135,1
2137,1
2140,0
2143,1
2147,0
2151,1
2152,1
2155,1
2156,1
2162,0
2165,0
2166,1
2167,0
2168,1
2170,0
2178,1
2180,0
2182,0
2184,0
2185,0
2187,1
2196,0
2197,1
2199,1
2200,0
2201,0
2202,1
2206,0
2208,0
2218,1
2223,1
2224,1
2226,1
2228,0
2232,0
2234,0
2243,1
2247,1
2249,1
2252,0
2253,1
2259,0
2261,0
2264,0
2268,0
2269,0
2270,0
2276,1
2283,1
2287,1
2290,1
2291,0
